date_key,year,quarter,month,week,day_of_week,is_weekend,fiscal_quarter
2024-05-01,2024,2,5,18,2,0,FY2024-Q3
2024-05-02,2024,2,5,18,3,0,FY2024-Q3
2024-05-03,2024,2,5,18,4,0,FY2024-Q3
2024-05-04,2024,2,5,18,5,1,FY2024-Q3
2024-05-05,2024,2,5,18,6,1,FY2024-Q3
2024-05-06,2024,2,5,19,0,0,FY2024-Q3
2024-05-07,2024,2,5,19,1,0,FY2024-Q3
2024-05-08,2024,2,5,19,2,0,FY2024-Q3
2024-05-09,2024,2,5,19,3,0,FY2024-Q3
2024-05-10,2024,2,5,19,4,0,FY2024-Q3
2024-05-11,2024,2,5,19,5,1,FY2024-Q3
2024-05-12,2024,2,5,19,6,1,FY2024-Q3
2024-05-13,2024,2,5,20,0,0,FY2024-Q3
2024-05-14,2024,2,5,20,1,0,FY2024-Q3
2024-05-15,2024,2,5,20,2,0,FY2024-Q3
2024-05-16,2024,2,5,20,3,0,FY2024-Q3
2024-05-17,2024,2,5,20,4,0,FY2024-Q3
2024-05-18,2024,2,5,20,5,1,FY2024-Q3
2024-05-19,2024,2,5,20,6,1,FY2024-Q3
2024-05-20,2024,2,5,21,0,0,FY2024-Q3
2024-05-21,2024,2,5,21,1,0,FY2024-Q3
2024-05-22,2024,2,5,21,2,0,FY2024-Q3
2024-05-23,2024,2,5,21,3,0,FY2024-Q3
2024-05-24,2024,2,5,21,4,0,FY2024-Q3
2024-05-25,2024,2,5,21,5,1,FY2024-Q3
2024-05-26,2024,2,5,21,6,1,FY2024-Q3
2024-05-27,2024,2,5,22,0,0,FY2024-Q3
2024-05-28,2024,2,5,22,1,0,FY2024-Q3
2024-05-29,2024,2,5,22,2,0,FY2024-Q3
2024-05-30,2024,2,5,22,3,0,FY2024-Q3
2024-05-31,2024,2,5,22,4,0,FY2024-Q3
2024-06-01,2024,2,6,22,5,1,FY2024-Q3
2024-06-02,2024,2,6,22,6,1,FY2024-Q3
2024-06-03,2024,2,6,23,0,0,FY2024-Q3
2024-06-04,2024,2,6,23,1,0,FY2024-Q3
2024-06-05,2024,2,6,23,2,0,FY2024-Q3
2024-06-06,2024,2,6,23,3,0,FY2024-Q3
2024-06-07,2024,2,6,23,4,0,FY2024-Q3
2024-06-08,2024,2,6,23,5,1,FY2024-Q3
2024-06-09,2024,2,6,23,6,1,FY2024-Q3
2024-06-10,2024,2,6,24,0,0,FY2024-Q3
2024-06-11,2024,2,6,24,1,0,FY2024-Q3
2024-06-12,2024,2,6,24,2,0,FY2024-Q3
2024-06-13,2024,2,6,24,3,0,FY2024-Q3
2024-06-14,2024,2,6,24,4,0,FY2024-Q3
2024-06-15,2024,2,6,24,5,1,FY2024-Q3
2024-06-16,2024,2,6,24,6,1,FY2024-Q3
2024-06-17,2024,2,6,25,0,0,FY2024-Q3
2024-06-18,2024,2,6,25,1,0,FY2024-Q3
2024-06-19,2024,2,6,25,2,0,FY2024-Q3
2024-06-20,2024,2,6,25,3,0,FY2024-Q3
2024-06-21,2024,2,6,25,4,0,FY2024-Q3
2024-06-22,2024,2,6,25,5,1,FY2024-Q3
2024-06-23,2024,2,6,25,6,1,FY2024-Q3
2024-06-24,2024,2,6,26,0,0,FY2024-Q3
2024-06-25,2024,2,6,26,1,0,FY2024-Q3
2024-06-26,2024,2,6,26,2,0,FY2024-Q3
2024-06-27,2024,2,6,26,3,0,FY2024-Q3
2024-06-28,2024,2,6,26,4,0,FY2024-Q3
2024-06-29,2024,2,6,26,5,1,FY2024-Q3
2024-06-30,2024,2,6,26,6,1,FY2024-Q3
2024-07-01,2024,3,7,27,0,0,FY2024-Q4
2024-07-02,2024,3,7,27,1,0,FY2024-Q4
2024-07-03,2024,3,7,27,2,0,FY2024-Q4
2024-07-04,2024,3,7,27,3,0,FY2024-Q4
2024-07-05,2024,3,7,27,4,0,FY2024-Q4
2024-07-06,2024,3,7,27,5,1,FY2024-Q4
2024-07-07,2024,3,7,27,6,1,FY2024-Q4
2024-07-08,2024,3,7,28,0,0,FY2024-Q4
2024-07-09,2024,3,7,28,1,0,FY2024-Q4
2024-07-10,2024,3,7,28,2,0,FY2024-Q4
2024-07-11,2024,3,7,28,3,0,FY2024-Q4
2024-07-12,2024,3,7,28,4,0,FY2024-Q4
2024-07-13,2024,3,7,28,5,1,FY2024-Q4
2024-07-14,2024,3,7,28,6,1,FY2024-Q4
2024-07-15,2024,3,7,29,0,0,FY2024-Q4
2024-07-16,2024,3,7,29,1,0,FY2024-Q4
2024-07-17,2024,3,7,29,2,0,FY2024-Q4
2024-07-18,2024,3,7,29,3,0,FY2024-Q4
2024-07-19,2024,3,7,29,4,0,FY2024-Q4
2024-07-20,2024,3,7,29,5,1,FY2024-Q4
2024-07-21,2024,3,7,29,6,1,FY2024-Q4
2024-07-22,2024,3,7,30,0,0,FY2024-Q4
2024-07-23,2024,3,7,30,1,0,FY2024-Q4
2024-07-24,2024,3,7,30,2,0,FY2024-Q4
2024-07-25,2024,3,7,30,3,0,FY2024-Q4
2024-07-26,2024,3,7,30,4,0,FY2024-Q4
2024-07-27,2024,3,7,30,5,1,FY2024-Q4
2024-07-28,2024,3,7,30,6,1,FY2024-Q4
2024-07-29,2024,3,7,31,0,0,FY2024-Q4
2024-07-30,2024,3,7,31,1,0,FY2024-Q4
2024-07-31,2024,3,7,31,2,0,FY2024-Q4
2024-08-01,2024,3,8,31,3,0,FY2024-Q4
2024-08-02,2024,3,8,31,4,0,FY2024-Q4
2024-08-03,2024,3,8,31,5,1,FY2024-Q4
2024-08-04,2024,3,8,31,6,1,FY2024-Q4
2024-08-05,2024,3,8,32,0,0,FY2024-Q4
2024-08-06,2024,3,8,32,1,0,FY2024-Q4
2024-08-07,2024,3,8,32,2,0,FY2024-Q4
2024-08-08,2024,3,8,32,3,0,FY2024-Q4
2024-08-09,2024,3,8,32,4,0,FY2024-Q4
2024-08-10,2024,3,8,32,5,1,FY2024-Q4
2024-08-11,2024,3,8,32,6,1,FY2024-Q4
2024-08-12,2024,3,8,33,0,0,FY2024-Q4
2024-08-13,2024,3,8,33,1,0,FY2024-Q4
2024-08-14,2024,3,8,33,2,0,FY2024-Q4
2024-08-15,2024,3,8,33,3,0,FY2024-Q4
2024-08-16,2024,3,8,33,4,0,FY2024-Q4
2024-08-17,2024,3,8,33,5,1,FY2024-Q4
2024-08-18,2024,3,8,33,6,1,FY2024-Q4
2024-08-19,2024,3,8,34,0,0,FY2024-Q4
2024-08-20,2024,3,8,34,1,0,FY2024-Q4
2024-08-21,2024,3,8,34,2,0,FY2024-Q4
2024-08-22,2024,3,8,34,3,0,FY2024-Q4
2024-08-23,2024,3,8,34,4,0,FY2024-Q4
2024-08-24,2024,3,8,34,5,1,FY2024-Q4
2024-08-25,2024,3,8,34,6,1,FY2024-Q4
2024-08-26,2024,3,8,35,0,0,FY2024-Q4
2024-08-27,2024,3,8,35,1,0,FY2024-Q4
2024-08-28,2024,3,8,35,2,0,FY2024-Q4
2024-08-29,2024,3,8,35,3,0,FY2024-Q4
2024-08-30,2024,3,8,35,4,0,FY2024-Q4
2024-08-31,2024,3,8,35,5,1,FY2024-Q4
2024-09-01,2024,3,9,35,6,1,FY2024-Q4
2024-09-02,2024,3,9,36,0,0,FY2024-Q4
2024-09-03,2024,3,9,36,1,0,FY2024-Q4
2024-09-04,2024,3,9,36,2,0,FY2024-Q4
2024-09-05,2024,3,9,36,3,0,FY2024-Q4
2024-09-06,2024,3,9,36,4,0,FY2024-Q4
2024-09-07,2024,3,9,36,5,1,FY2024-Q4
2024-09-08,2024,3,9,36,6,1,FY2024-Q4
