partner_id,partner_name,partner_tier,region,city,opened_date,parent_partner_id,is_active
PT00001,(주) 한빛시스템 Carrier,Carrier,서울,남양주시,2023-06-10,PT00014,1
PT00002,(주) 푸른항공 Authorized,Authorized,서울,안양시 만안구,2019-11-25,,1
PT00003,(주) 가야고려상사 Carrier,Carrier,대전,과천시,2023-01-09,,1
PT00004,(주) 인포 Online,Online,서울,고양시,2022-04-20,,1
PT00005,유한회사 마루 Authorized,Authorized,서울,삼척시,2024-02-03,PT00023,1
PT00006,(주) 네오하나전자 Authorized,Authorized,부산,가평군,2023-01-05,,1
PT00007,주식회사 브레인네트워크 Premium,Premium Reseller,서울,안양시 만안구,2020-05-13,,1
PT00008,(유) 비전솔루션 Carrier,Carrier,부산,성남시,2021-03-26,,1
PT00009,(주) 시너지고려시스템즈 Authorized,Authorized,인천,서천군,2024-03-17,,1
PT00010,주식회사 한가람고구려그룹 Carrier,Carrier,서울,태안군,2023-04-06,,1
PT00011,(주) 마루국민유통 Carrier,Carrier,대전,의왕시,2019-12-10,PT00014,1
PT00012,(유) 네오 Authorized,Authorized,서울,양주시,2021-11-09,,1
PT00013,(유) 하나기술 Online,Online,경기,당진시,2021-01-08,PT00046,1
PT00014,주식회사 네오제조 Premium,Premium Reseller,서울,수원시 장안구,2023-05-27,,1
PT00015,주식회사 푸른 Carrier,Carrier,인천,용인시 수지구,2020-04-18,,1
PT00016,주식회사 가온에너지 Carrier,Carrier,광주,춘천시,2024-07-15,,1
PT00017,주식회사 제나에너지 Authorized,Authorized,경남,고양시 일산동구,2020-04-11,,1
PT00018,유한회사 코리아우리바이오 Authorized,Authorized,부산,시흥시,2023-07-30,,1
PT00019,(유) 한빛전자 Carrier,Carrier,인천,서산시,2019-03-10,PT00023,1
PT00020,주식회사 글로벌윈드코스메틱 Online,Online,인천,안양시 만안구,2021-05-25,,1
PT00021,(주) 나루반도체 Carrier,Carrier,서울,청주시 흥덕구,2024-06-06,,1
PT00022,(주) 시너지 Authorized,Authorized,경기,수원시 장안구,2021-08-04,,1
PT00023,(유) 인포가람네트웍스 Premium,Premium Reseller,서울,청주시 흥덕구,2023-01-26,,1
PT00024,(유) 글로벌발해전자 Premium,Premium Reseller,경기,동두천시,2022-07-27,,1
PT00025,(유) 윈드보안 Carrier,Carrier,경기,화천군,2021-11-10,,1
PT00026,(유) 첨단 Authorized,Authorized,서울,화천군,2018-11-27,PT00023,1
PT00027,주식회사 스타반도체 Authorized,Authorized,경북,천안시 동남구,2023-03-08,,1
PT00028,(주) 종합 Carrier,Carrier,경기,용인시 수지구,2024-08-16,,1
PT00029,(주) 스타신문 Premium,Premium Reseller,광주,구리시,2022-02-27,,1
PT00030,(주) 고려코스메틱 Premium,Premium Reseller,경기,화성시,2018-06-29,,1
PT00031,주식회사 글로벌 Online,Online,대구,태안군,2024-06-21,PT00046,1
PT00032,주식회사 모두 Authorized,Authorized,경남,고성군,2022-01-16,PT00046,1
PT00033,주식회사 이노한강뷰티 Carrier,Carrier,울산,보은군,2023-02-28,,1
PT00034,(유) 에코유니온정보통신 Authorized,Authorized,서울,부천시 소사구,2020-08-26,PT00078,1
PT00035,(주) 브레인개발공사 Authorized,Authorized,서울,논산시,2020-02-10,,1
