sku,product_line,product_name,launch_date,msrp_krw,is_current
MAC-0001,Mac,Mac Model 1,2023-11-01,2810000,0
IPH-0002,iPhone,iPhone Model 2,2022-04-19,2340000,0
IPH-0003,iPhone,iPhone Model 3,2026-01-14,2070000,1
IPH-0004,iPhone,iPhone Model 4,2024-10-28,1910000,1
IPH-0005,iPhone,iPhone Model 5,2025-12-01,1380000,1
IPH-0006,iPhone,iPhone Model 6,2023-05-28,1380000,0
MAC-0007,Mac,Mac Model 7,2024-08-26,1950000,1
IPA-0008,iPad,iPad Model 8,2023-05-03,1630000,0
ACC-0009,Accessories,Accessories Model 9,2024-10-27,250000,1
IPH-0010,iPhone,iPhone Model 10,2025-08-10,2040000,1
IPH-0011,iPhone,iPhone Model 11,2022-07-13,1220000,0
IPH-0012,iPhone,iPhone Model 12,2025-01-23,2360000,1
WAT-0013,Watch,Watch Model 13,2025-10-30,1060000,1
IPH-0014,iPhone,iPhone Model 14,2023-04-12,1450000,0
IPH-0015,iPhone,iPhone Model 15,2024-02-27,1410000,1
IPH-0016,iPhone,iPhone Model 16,2023-04-26,1420000,0
IPH-0017,iPhone,iPhone Model 17,2024-11-01,1560000,1
IPH-0018,iPhone,iPhone Model 18,2023-09-27,1820000,0
IPH-0019,iPhone,iPhone Model 19,2023-05-22,1710000,0
WAT-0020,Watch,Watch Model 20,2023-09-18,630000,0
IPH-0021,iPhone,iPhone Model 21,2024-12-19,1930000,1
WAT-0022,Watch,Watch Model 22,2023-04-05,510000,0
IPA-0023,iPad,iPad Model 23,2024-05-11,950000,1
IPH-0024,iPhone,iPhone Model 24,2022-07-17,1630000,0
ACC-0025,Accessories,Accessories Model 25,2022-10-26,190000,0
MAC-0026,Mac,Mac Model 26,2023-10-16,3910000,0
ACC-0027,Accessories,Accessories Model 27,2024-10-29,100000,1
WAT-0028,Watch,Watch Model 28,2025-12-31,810000,1
MAC-0029,Mac,Mac Model 29,2023-08-12,3390000,0
IPH-0030,iPhone,iPhone Model 30,2024-11-18,1250000,1
IPH-0031,iPhone,iPhone Model 31,2025-03-08,1920000,1
IPH-0032,iPhone,iPhone Model 32,2025-11-03,1400000,1
IPH-0033,iPhone,iPhone Model 33,2022-09-28,1270000,0
IPH-0034,iPhone,iPhone Model 34,2024-08-14,2330000,1
IPH-0035,iPhone,iPhone Model 35,2024-06-03,2350000,1
ACC-0036,Accessories,Accessories Model 36,2023-04-13,320000,0
IPH-0037,iPhone,iPhone Model 37,2023-09-23,1560000,0
MAC-0038,Mac,Mac Model 38,2024-05-01,2060000,1
IPH-0039,iPhone,iPhone Model 39,2025-07-19,2020000,1
IPH-0040,iPhone,iPhone Model 40,2022-01-01,1720000,0
ACC-0041,Accessories,Accessories Model 41,2023-04-18,70000,0
ACC-0042,Accessories,Accessories Model 42,2023-03-22,210000,0
IPA-0043,iPad,iPad Model 43,2022-11-23,640000,0
MAC-0044,Mac,Mac Model 44,2023-10-30,4250000,0
IPH-0045,iPhone,iPhone Model 45,2025-05-05,1510000,1
IPH-0046,iPhone,iPhone Model 46,2024-06-19,1990000,1
ACC-0047,Accessories,Accessories Model 47,2024-07-31,140000,1
IPA-0048,iPad,iPad Model 48,2024-10-14,1220000,1
IPH-0049,iPhone,iPhone Model 49,2023-05-16,1850000,0
MAC-0050,Mac,Mac Model 50,2023-12-24,2290000,0
IPH-0051,iPhone,iPhone Model 51,2023-11-18,2360000,0
IPA-0052,iPad,iPad Model 52,2023-11-18,1530000,0
IPH-0053,iPhone,iPhone Model 53,2024-11-15,2320000,1
WAT-0054,Watch,Watch Model 54,2022-11-28,1110000,0
IPH-0055,iPhone,iPhone Model 55,2024-03-05,1910000,1
ACC-0056,Accessories,Accessories Model 56,2024-01-06,370000,1
IPH-0057,iPhone,iPhone Model 57,2025-05-18,1300000,1
IPH-0058,iPhone,iPhone Model 58,2025-10-31,1430000,1
IPA-0059,iPad,iPad Model 59,2026-01-31,650000,1
IPA-0060,iPad,iPad Model 60,2025-05-21,990000,1
IPH-0061,iPhone,iPhone Model 61,2025-02-17,1660000,1
IPH-0062,iPhone,iPhone Model 62,2022-09-21,1520000,0
WAT-0063,Watch,Watch Model 63,2024-10-20,1060000,1
IPH-0064,iPhone,iPhone Model 64,2022-05-12,1620000,0
IPA-0065,iPad,iPad Model 65,2023-03-17,930000,0
IPA-0066,iPad,iPad Model 66,2024-03-11,1250000,1
IPH-0067,iPhone,iPhone Model 67,2024-10-28,1360000,1
IPA-0068,iPad,iPad Model 68,2024-09-10,1560000,1
IPH-0069,iPhone,iPhone Model 69,2024-08-19,1280000,1
ACC-0070,Accessories,Accessories Model 70,2023-06-05,390000,0
IPH-0071,iPhone,iPhone Model 71,2022-05-26,2120000,0
MAC-0072,Mac,Mac Model 72,2025-06-25,2330000,1
IPH-0073,iPhone,iPhone Model 73,2026-01-18,1200000,1
IPH-0074,iPhone,iPhone Model 74,2025-03-12,2170000,1
IPA-0075,iPad,iPad Model 75,2022-12-31,1440000,0
IPH-0076,iPhone,iPhone Model 76,2024-11-11,2070000,1
IPH-0077,iPhone,iPhone Model 77,2023-04-28,2120000,0
MAC-0078,Mac,Mac Model 78,2022-12-15,1990000,0
IPH-0079,iPhone,iPhone Model 79,2025-06-06,1630000,1
IPH-0080,iPhone,iPhone Model 80,2022-11-06,1330000,0
ACC-0081,Accessories,Accessories Model 81,2022-08-17,340000,0
ACC-0082,Accessories,Accessories Model 82,2022-02-07,260000,0
IPH-0083,iPhone,iPhone Model 83,2022-03-13,1590000,0
IPH-0084,iPhone,iPhone Model 84,2023-01-16,1270000,0
IPH-0085,iPhone,iPhone Model 85,2024-01-09,1570000,1
ACC-0086,Accessories,Accessories Model 86,2024-08-07,150000,1
WAT-0087,Watch,Watch Model 87,2025-08-13,980000,1
WAT-0088,Watch,Watch Model 88,2025-04-08,910000,1
IPH-0089,iPhone,iPhone Model 89,2022-04-24,2260000,0
IPH-0090,iPhone,iPhone Model 90,2023-12-09,1760000,0
MAC-0091,Mac,Mac Model 91,2023-10-06,2120000,0
MAC-0092,Mac,Mac Model 92,2025-10-08,3720000,1
IPA-0093,iPad,iPad Model 93,2024-09-05,1510000,1
ACC-0094,Accessories,Accessories Model 94,2024-06-13,230000,1
IPA-0095,iPad,iPad Model 95,2022-10-30,1520000,0
IPH-0096,iPhone,iPhone Model 96,2025-01-20,1790000,1
