customer_id,partner_id,first_purchase_date,last_purchase_date,total_orders,ltv_krw,segment,payment_method
CU0000001,PT00029,2025-10-10,2026-03-16,2,1020198,Entry,Card
CU0000002,PT00053,2025-11-14,2025-12-16,3,1084759,Entry,Card
CU0000003,PT00048,2026-02-12,2026-03-29,3,1043053,Entry,Installment
CU0000004,PT00047,2026-04-15,2026-04-15,1,1340327,Mid,Card
CU0000005,PT00065,2024-08-08,2025-12-04,2,2064527,Mid,Installment
CU0000006,PT00068,2025-06-19,2025-06-19,1,889771,Entry,Card
CU0000007,PT00069,2024-05-21,2026-04-25,3,5017205,Premium,Installment
CU0000008,PT00070,2025-03-03,2025-03-24,2,2128926,Mid,Card
CU0000009,PT00046,2024-07-05,2024-07-05,1,1659420,Mid,Installment
CU0000010,PT00056,2025-09-12,2025-09-12,1,1416335,Mid,Card
CU0000011,PT00014,2025-03-29,2025-03-29,1,1536560,Mid,Card
CU0000012,PT00013,2024-08-14,2024-08-14,1,1727193,Mid,Card
CU0000013,PT00073,2026-03-05,2026-04-18,2,1140009,Entry,Installment
CU0000014,PT00016,2024-09-19,2024-09-19,1,1194483,Mid,Card
CU0000015,PT00060,2024-06-09,2024-06-09,1,1252853,Mid,Installment
CU0000016,PT00021,2024-11-19,2024-11-19,1,847222,Entry,Card
CU0000017,PT00042,2025-02-19,2025-02-19,1,2179665,Premium,Card
CU0000018,PT00014,2025-01-10,2025-01-10,1,3488865,Premium,Card
CU0000019,PT00053,2024-10-12,2025-09-30,2,1498654,Mid,Card
CU0000020,PT00017,2025-01-09,2025-01-09,1,1320148,Mid,Installment
CU0000021,PT00057,2025-01-18,2025-01-18,1,1443185,Mid,Installment
CU0000022,PT00001,2025-12-13,2026-02-24,2,1597048,Mid,Installment
CU0000023,PT00018,2024-12-03,2024-12-03,1,3395358,Premium,Card
CU0000024,PT00025,2025-12-06,2026-02-25,2,1639765,Mid,Card
CU0000025,PT00017,2024-11-12,2024-11-12,1,693070,Entry,Carrier Subscription
CU0000026,PT00077,2026-02-08,2026-02-08,1,776521,Entry,Installment
CU0000027,PT00056,2024-07-03,2025-07-03,3,1728631,Mid,Card
CU0000028,PT00015,2024-05-16,2024-05-16,1,1321305,Mid,Carrier Subscription
CU0000029,PT00024,2025-12-03,2026-03-17,2,4659688,Premium,Carrier Subscription
CU0000030,PT00078,2024-06-10,2024-06-10,1,1653663,Mid,Card
CU0000031,PT00024,2025-01-27,2025-07-20,2,1582202,Mid,Carrier Subscription
CU0000032,PT00066,2025-09-17,2025-09-17,1,1884076,Mid,Card
CU0000033,PT00032,2024-06-23,2024-06-23,1,1748585,Mid,Card
CU0000034,PT00062,2025-12-28,2025-12-28,1,1426961,Mid,Card
CU0000035,PT00075,2025-09-19,2025-09-19,1,1293955,Mid,Installment
CU0000036,PT00035,2024-06-01,2026-01-07,2,2010186,Mid,Carrier Subscription
CU0000037,PT00059,2024-05-25,2024-05-25,1,1270488,Mid,Card
CU0000038,PT00006,2024-11-09,2025-04-12,2,4786738,Premium,Card
CU0000039,PT00066,2026-02-11,2026-02-11,1,2207957,Premium,Installment
CU0000040,PT00026,2024-05-16,2024-05-16,1,657038,Entry,Installment
CU0000041,PT00039,2025-08-26,2025-10-24,3,1372242,Entry,Card
CU0000042,PT00020,2024-11-02,2024-11-02,1,1407262,Mid,Card
CU0000043,PT00065,2024-08-07,2025-08-09,5,2843517,Mid,Card
CU0000044,PT00059,2025-10-02,2025-11-15,5,3609336,Mid,Installment
