traffic_id,traffic_date,partner_id,sessions,add_to_cart,checkout_started,conversions
1,2024-05-01,PT00001,7497,1242,737,27
2,2024-05-02,PT00001,8352,1467,937,39
3,2024-05-03,PT00001,7803,1002,601,25
4,2024-05-04,PT00001,9777,1338,768,66
5,2024-05-05,PT00001,8211,1063,693,51
6,2024-05-06,PT00001,7770,1290,876,58
7,2024-05-07,PT00001,6939,938,565,32
8,2024-05-08,PT00001,12624,1792,1215,65
9,2024-05-09,PT00001,7677,1009,642,54
10,2024-05-10,PT00001,9075,1321,973,75
11,2024-05-11,PT00001,7929,1158,669,24
12,2024-05-12,PT00001,9399,1396,985,75
13,2024-05-13,PT00001,7671,1201,845,79
14,2024-05-14,PT00001,5535,755,509,38
15,2024-05-15,PT00001,8544,1424,1003,49
16,2024-05-16,PT00001,10587,1578,868,48
17,2024-05-17,PT00001,6801,1002,616,41
18,2024-05-18,PT00001,9786,1489,874,86
19,2024-05-19,PT00001,8625,1391,981,69
20,2024-05-20,PT00001,8118,1131,845,72
21,2024-05-21,PT00001,5049,751,511,40
22,2024-05-22,PT00001,8172,1306,735,31
23,2024-05-23,PT00001,8136,1249,833,30
24,2024-05-24,PT00001,10011,1467,1028,74
25,2024-05-25,PT00001,7158,1093,736,51
26,2024-05-26,PT00001,8898,1453,913,59
27,2024-05-27,PT00001,5487,741,494,22
28,2024-05-28,PT00001,10740,1500,905,62
29,2024-05-29,PT00001,7953,1236,819,34
30,2024-05-30,PT00001,10569,1573,964,52
31,2024-05-31,PT00001,9429,1330,932,50
32,2024-06-01,PT00001,8241,1315,798,51
33,2024-06-02,PT00001,8247,1274,812,63
34,2024-06-03,PT00001,9894,1331,765,55
35,2024-06-04,PT00001,9528,1427,836,51
36,2024-06-05,PT00001,9837,1708,1190,86
37,2024-06-06,PT00001,11865,2144,1247,39
38,2024-06-07,PT00001,8172,1400,840,61
39,2024-06-08,PT00001,10386,1522,883,78
40,2024-06-09,PT00001,11835,1769,1300,59
41,2024-06-10,PT00001,7299,1022,579,26
42,2024-06-11,PT00001,12921,1678,1252,48
43,2024-06-12,PT00001,11703,1773,1107,45
44,2024-06-13,PT00001,11280,1574,971,49
45,2024-06-14,PT00001,9384,1578,909,52
46,2024-06-15,PT00001,7875,1276,760,59
47,2024-06-16,PT00001,7662,1186,673,41
48,2024-06-17,PT00001,8361,1275,716,45
49,2024-06-18,PT00001,7116,1009,669,56
50,2024-06-19,PT00001,8943,1188,882,58
51,2024-06-20,PT00001,9432,1517,1055,84
52,2024-06-21,PT00001,4695,776,443,37
53,2024-06-22,PT00001,10572,1666,1062,60
54,2024-06-23,PT00001,12213,1827,1153,92
55,2024-06-24,PT00001,9966,1476,932,65
56,2024-06-25,PT00001,12192,1873,1261,88
57,2024-06-26,PT00001,9333,1288,851,66
58,2024-06-27,PT00001,9930,1525,863,55
59,2024-06-28,PT00001,9885,1238,908,42
60,2024-06-29,PT00001,7479,1252,813,46
61,2024-06-30,PT00001,7440,1171,748,56
62,2024-07-01,PT00001,9399,1255,924,55
63,2024-07-02,PT00001,5763,911,666,33
64,2024-07-03,PT00001,6522,962,616,40
65,2024-07-04,PT00001,8115,1158,723,38
66,2024-07-05,PT00001,10605,1420,997,71
67,2024-07-06,PT00001,11010,1857,1099,85
68,2024-07-07,PT00001,8667,1458,926,61
69,2024-07-08,PT00001,10629,1418,928,57
70,2024-07-09,PT00001,9726,1742,974,54
71,2024-07-10,PT00001,9234,1324,829,51
72,2024-07-11,PT00001,8352,1067,722,69
73,2024-07-12,PT00001,9390,1619,1148,77
74,2024-07-13,PT00001,10458,1556,952,72
75,2024-07-14,PT00001,6135,861,620,52
76,2024-07-15,PT00001,10080,1477,989,45
77,2024-07-16,PT00001,8055,882,572,42
78,2024-07-17,PT00001,10179,1657,1200,94
79,2024-07-18,PT00001,5484,1004,734,28
80,2024-07-19,PT00001,4860,767,437,21
81,2024-07-20,PT00001,6399,790,464,40
82,2024-07-21,PT00001,5856,977,635,38
83,2024-07-22,PT00001,5901,1043,598,28
84,2024-07-23,PT00001,8274,1335,987,63
85,2024-07-24,PT00001,9297,1348,820,76
86,2024-07-25,PT00001,10041,1370,929,53
87,2024-07-26,PT00001,12189,1629,917,66
88,2024-07-27,PT00001,13407,1896,1048,76
89,2024-07-28,PT00001,7005,1115,731,39
90,2024-07-29,PT00001,10230,1442,918,59
91,2024-07-30,PT00001,7401,989,580,35
92,2024-07-31,PT00001,10800,1949,1095,27
93,2024-08-01,PT00001,6786,1018,709,53
94,2024-08-02,PT00001,4917,829,577,35
95,2024-08-03,PT00001,7251,1036,637,34
96,2024-08-04,PT00001,11229,1894,1072,57
97,2024-08-05,PT00001,11205,1782,1077,68
98,2024-08-06,PT00001,12078,2017,1147,71
99,2024-08-07,PT00001,9072,1364,909,75
100,2024-08-08,PT00001,8556,1562,1005,52
101,2024-08-09,PT00001,9876,1311,932,49
102,2024-08-10,PT00001,10119,1712,1096,44
103,2024-08-11,PT00001,6642,1073,758,45
104,2024-08-12,PT00001,6987,865,523,29
105,2024-08-13,PT00001,8070,1149,748,66
106,2024-08-14,PT00001,9543,1481,978,52
107,2024-08-15,PT00001,3849,646,406,24
108,2024-08-16,PT00001,8355,1169,838,54
109,2024-08-17,PT00001,14040,2439,1773,84
110,2024-08-18,PT00001,8877,1599,986,54
111,2024-08-19,PT00001,7980,1070,743,38
112,2024-08-20,PT00001,8742,1223,807,58
113,2024-08-21,PT00001,7476,1058,662,35
114,2024-08-22,PT00001,6969,958,535,33
115,2024-08-23,PT00001,9486,1371,772,69
116,2024-08-24,PT00001,9738,1546,1112,43
117,2024-08-25,PT00001,11823,1366,828,25
118,2024-08-26,PT00001,9300,1577,947,58
119,2024-08-27,PT00001,8052,1208,827,37
120,2024-08-28,PT00001,6885,1050,760,43
121,2024-08-29,PT00001,9915,1333,822,43
122,2024-08-30,PT00001,6729,1041,647,38
123,2024-08-31,PT00001,9393,1671,1034,94
124,2024-09-01,PT00001,7851,1228,913,67
125,2024-09-02,PT00001,10071,1813,1009,44
